university_association,times_higher_education,qs_world
ETH Zurich,11,7
University of Lausanne,143,220
Zurich University of Applied Sciences (ZHAW),900,1401
University of Cambridge,5,2
University of Dundee,325,441
University of Wolverhampton,700,1100
Peking University,14,17
Dalian University of Technology,450,491
China University of Mining and Technology,,785
Indian Institute of Technology Bombay (IITB),,149
University of Delhi,900,
Indian Institute of Technology Hyderabad (IITH),,197
Sharif University of Technology,325,334
Shiraz University,550,685
Ferdowsi University of Mashhad,900,1100
Massachusetts Institute of Technology,3,1
University of Houston,550,645
Western Washington University,,1401
University of Sao Paulo,225,85
Universidade de Brasília,1350,825
"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",1100,1300
Cairo University,900,371
Alexandria University,900,925
Zagazig University,900,1300
The University of Melbourne,37,14
The University of Adelaide,111,89
Queensland University of Technology (QUT),199,189
Technical University of Munich,30,37
University of Potsdam,225,460
Leibniz University Hannover,375,481
University of Cape Town,167,173
University of South Africa,1100,875
University of the Free State,900,1100
