title,country_association,university_association,Originality,Method,Credibility,Understandability,Relevance,Quality of Citations,Linguistic style and soundness of grammar,Overall score
AP_paper_41,Switzerland,ETH Zurich,9,8,9,7,9,8,8,8.3
AP_paper_41,Switzerland,University of Lausanne,8,9,8,7,9,8,8,8
AP_paper_41,Switzerland,Zurich University of Applied Sciences (ZHAW),9,8,8,7,9,8,9,8.125
AP_paper_41,England,University of Cambridge,8,9,9,7,8,9,8,8.25
AP_paper_41,England,University of Dundee,8,9,7,6,9,8,8,8
AP_paper_41,England,University of Wolverhampton,9,8,7,6,8,7,8,7.5
AP_paper_41,China,Peking University,8,9,8,7,9,8,8,8
AP_paper_41,China,Dalian University of Technology,8,9,7,6,9,8,7,8
AP_paper_41,China,China University of Mining and Technology,8,9,8,7,9,8,8,8
AP_paper_41,India,Indian Institute of Technology Bombay (IITB),9,8,7,6,8,7,8,7.5
AP_paper_41,India,University of Delhi,,,,,,,,
AP_paper_41,India,Indian Institute of Technology Hyderabad (IITH),,,,,,,,
AP_paper_41,Iran,Sharif University of Technology,8,9,8,7,8,8,8,8
AP_paper_41,Iran,Shiraz University,8,9,7,6,8,7,8,7.5
AP_paper_41,Iran,Ferdowsi University of Mashhad,8,9,8,7,9,8,8,8.0
AP_paper_41,USA,Massachusetts Institute of Technology,8,9,8,7,9,8,8,8
AP_paper_41,USA,University of Houston,8,9,7,6,9,8,7,7.75
AP_paper_41,USA,Western Washington University,8,9,7,6,8,8,8,7.6
AP_paper_41,Brazil,University of Sao Paulo,9,8,7,6,9,8,8,8
AP_paper_41,Brazil,Universidade de Brasília,8,9,7,6,8,7,8,7.5
AP_paper_41,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",9,8,7,7,8,8,9,8
AP_paper_41,Egypt,Cairo University,8,9,7,6,9,8,7,8
AP_paper_41,Egypt,Alexandria University,7,8,9,6,8,7,8,7.5
AP_paper_41,Egypt,Zagazig University,8,9,7,6,8,7,8,7.5
AP_paper_41,Australia,The University of Melbourne,8,9,9,7,8,8,8,8.1
AP_paper_41,Australia,The University of Adelaide,8,9,9,7,8,9,8,8.25
AP_paper_41,Australia,Queensland University of Technology (QUT),9,8,9,7,8,9,8,8
AP_paper_41,Germany,Technical University of Munich,8,9,7,7,8,8,9,8
AP_paper_41,Germany,University of Potsdam,8,9,9,7,9,8,8,8.25
AP_paper_41,Germany,Leibniz University Hannover,8,9,7,8,9,8,9,8.3
AP_paper_41,South Africa,University of Cape Town,9,8,7,8,9,8,8,8
AP_paper_41,South Africa,University of South Africa,8,9,7,6,8,7,8,7.5
AP_paper_41,South Africa,University of the Free State,8,9,7,6,8,7,8,7.5
EM_paper_8,Switzerland,ETH Zurich,8,9,7,6,9,8,8,8
EM_paper_8,Switzerland,University of Lausanne,8,9,9,7,9,8,8,8.25
EM_paper_8,Switzerland,Zurich University of Applied Sciences (ZHAW),8,9,8,7,9,8,8,8.0
EM_paper_8,England,University of Cambridge,8,9,9,7,9,8,8,8.5
EM_paper_8,England,University of Dundee,8,9,9,7,9,8,8,8.25
EM_paper_8,England,University of Wolverhampton,8,9,7,6,8,7,8,7.5
EM_paper_8,China,Peking University,8,9,9,7,8,8,8,8
EM_paper_8,China,Dalian University of Technology,8,7,9,6,8,7,8,7
EM_paper_8,China,China University of Mining and Technology,8,9,7,8,9,8,8,8
EM_paper_8,India,Indian Institute of Technology Bombay (IITB),8,7,9,6,8,7,8,7.5
EM_paper_8,India,University of Delhi,8,9,9,7,8,8,8,8
EM_paper_8,India,Indian Institute of Technology Hyderabad (IITH),9,8,7,6,9,8,7,7.71
EM_paper_8,Iran,Sharif University of Technology,8,9,7,6,8,7,7,7.5
EM_paper_8,Iran,Shiraz University,9,8,7,6,8,7,7,7.5
EM_paper_8,Iran,Ferdowsi University of Mashhad,9,8,7,6,8,7,8,7.5
EM_paper_8,USA,Massachusetts Institute of Technology,8,9,9,7,9,8,8,8.25
EM_paper_8,USA,University of Houston,8,9,9,7,10,8,9,8
EM_paper_8,USA,Western Washington University,8,7,9,6,8,7,8,7
EM_paper_8,Brazil,University of Sao Paulo,9,8,8,7,9,8,8,8
EM_paper_8,Brazil,Universidade de Brasília,9,8,7,6,8,7,8,7.5
EM_paper_8,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",8,9,7,6,8,7,8,7.5
EM_paper_8,Egypt,Cairo University,8,9,7,6,9,7,8,7.75
EM_paper_8,Egypt,Alexandria University,8,9,7,6,9,7,8,8
EM_paper_8,Egypt,Zagazig University,8,9,7,6,8,7,8,7.5
EM_paper_8,Australia,The University of Melbourne,9,8,7,8,9,8,9,8.5
EM_paper_8,Australia,The University of Adelaide,9,8,9,7,8,8,8,8
EM_paper_8,Australia,Queensland University of Technology (QUT),9,8,7,6,9,8,8,8.0
EM_paper_8,Germany,Technical University of Munich,8,9,9,7,9,8,8,8.3
EM_paper_8,Germany,University of Potsdam,9,8,7,6,8,7,8,7.5
EM_paper_8,Germany,Leibniz University Hannover,9,8,7,7,9,8,8,8
EM_paper_8,South Africa,University of Cape Town,8,9,7,6,8,7,8,7.5
EM_paper_8,South Africa,University of South Africa,9,8,7,6,8,7,8,7.5
EM_paper_8,South Africa,University of the Free State,9,8,7,6,9,8,7,7.75
AT_paper_41,Switzerland,ETH Zurich,8,9,9,7,8,8,9,8.3
AT_paper_41,Switzerland,University of Lausanne,8,9,7,6,8,7,8,7.5
AT_paper_41,Switzerland,Zurich University of Applied Sciences (ZHAW),9,8,9,7,8,8,9,8.0
AT_paper_41,England,University of Cambridge,8,9,7,5,6,8,7,7
AT_paper_41,England,University of Dundee,9,8,7,6,8,7,8,7.5
AT_paper_41,England,University of Wolverhampton,8,9,7,6,9,8,8,8
AT_paper_41,China,Peking University,8,9,9,7,8,7,8,8
AT_paper_41,China,Dalian University of Technology,9,8,7,7,8,7,8,7.6
AT_paper_41,China,China University of Mining and Technology,8,9,7,6,8,7,7,7.5
AT_paper_41,India,Indian Institute of Technology Bombay (IITB),8,7,9,6,7,8,7,7.5
AT_paper_41,India,University of Delhi,9,8,9,7,8,8,8,8
AT_paper_41,India,Indian Institute of Technology Hyderabad (IITH),8,9,7,6,7,8,7,7.5
AT_paper_41,Iran,Sharif University of Technology,8,9,7,6,7,8,8,7.5
AT_paper_41,Iran,Shiraz University,9,8,7,6,9,7,8,7.67
AT_paper_41,Iran,Ferdowsi University of Mashhad,9,8,7,6,8,7,8,7.5
AT_paper_41,USA,Massachusetts Institute of Technology,8,9,9,7,8,8,9,8.0
AT_paper_41,USA,University of Houston,9,8,8,7,9,7,7,8
AT_paper_41,USA,Western Washington University,8,9,7,6,8,8,7,7.5
AT_paper_41,Brazil,University of Sao Paulo,9,8,7,6,8,7,8,7.5
AT_paper_41,Brazil,Universidade de Brasília,9,8,7,6,8,7,8,7.5
AT_paper_41,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",8,9,7,6,8,7,8,7.5
AT_paper_41,Egypt,Cairo University,8,9,7,6,8,7,8,7.5
AT_paper_41,Egypt,Alexandria University,9,8,7,6,8,7,8,7.5
AT_paper_41,Egypt,Zagazig University,9,8,7,6,8,7,8,7.5
AT_paper_41,Australia,The University of Melbourne,9,8,7,6,9,8,7,8
AT_paper_41,Australia,The University of Adelaide,9,8,7,6,8,8,7,7.5
AT_paper_41,Australia,Queensland University of Technology (QUT),8,9,7,6,8,7,8,7.5
AT_paper_41,Germany,Technical University of Munich,8,9,7,6,8,8,8,7.67
AT_paper_41,Germany,University of Potsdam,9,8,8,6,7,7,8,7.5
AT_paper_41,Germany,Leibniz University Hannover,9,8,7,6,8,7,8,7.5
AT_paper_41,South Africa,University of Cape Town,9,8,9,7,8,8,8,8
AT_paper_41,South Africa,University of South Africa,9,8,7,6,8,8,8,7
AT_paper_41,South Africa,University of the Free State,9,8,7,6,8,7,8,7.5
EM_paper_62,Switzerland,ETH Zurich,8,9,7,6,9,8,8,8
EM_paper_62,Switzerland,University of Lausanne,9,8,7,6,8,7,8,7.5
EM_paper_62,Switzerland,Zurich University of Applied Sciences (ZHAW),9,8,7,6,9,8,9,8
EM_paper_62,England,University of Cambridge,8,9,7,6,8,7,8,7.5
EM_paper_62,England,University of Dundee,9,8,7,6,9,8,8,8
EM_paper_62,England,University of Wolverhampton,8,9,7,6,8,7,8,7.5
EM_paper_62,China,Peking University,9,8,7,6,9,7,8,8
EM_paper_62,China,Dalian University of Technology,9,8,7,6,8,7,8,7.5
EM_paper_62,China,China University of Mining and Technology,8,9,7,6,8,7,8,7.5
EM_paper_62,India,Indian Institute of Technology Bombay (IITB),9,8,8,7,9,8,8,8
EM_paper_62,India,University of Delhi,9,8,7,6,9,8,8,8
EM_paper_62,India,Indian Institute of Technology Hyderabad (IITH),9,8,7,6,8,7,8,7.5
EM_paper_62,Iran,Sharif University of Technology,9,8,7,6,8,7,8,7.5
EM_paper_62,Iran,Shiraz University,9,8,7,6,9,6,8,7.5
EM_paper_62,Iran,Ferdowsi University of Mashhad,9,8,7,6,8,7,8,7.5
EM_paper_62,USA,Massachusetts Institute of Technology,8,9,7,6,8,7,8,7
EM_paper_62,USA,University of Houston,8,9,7,6,8,7,8,7.5
EM_paper_62,USA,Western Washington University,8,9,7,6,8,7,8,7.5
EM_paper_62,Brazil,University of Sao Paulo,9,8,7,6,8,7,8,7
EM_paper_62,Brazil,Universidade de Brasília,9,8,7,6,8,7,8,7.5
EM_paper_62,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",9,8,7,6,8,7,8,7.5
EM_paper_62,Egypt,Cairo University,8,9,7,6,9,7,8,7.75
EM_paper_62,Egypt,Alexandria University,8,9,7,6,8,7,8,7.5
EM_paper_62,Egypt,Zagazig University,8,9,8,7,9,8,8,8
EM_paper_62,Australia,The University of Melbourne,9,8,7,6,8,7,8,7.5
EM_paper_62,Australia,The University of Adelaide,8,9,7,6,10,8,7,8
EM_paper_62,Australia,Queensland University of Technology (QUT),9,8,8,7,9,8,9,8.25
EM_paper_62,Germany,Technical University of Munich,8,9,9,7,8,8,9,8
EM_paper_62,Germany,University of Potsdam,8,9,7,6,8,7,8,7
EM_paper_62,Germany,Leibniz University Hannover,9,8,9,7,8,8,9,8
EM_paper_62,South Africa,University of Cape Town,9,8,7,6,8,7,8,7.5
EM_paper_62,South Africa,University of South Africa,9,8,7,6,9,8,7,7.75
EM_paper_62,South Africa,University of the Free State,8,9,7,8,9,7,8,8
CP_paper_9,Switzerland,ETH Zurich,8,9,9,7,9,8,8,8.25
CP_paper_9,Switzerland,University of Lausanne,8,9,7,6,9,8,8,8
CP_paper_9,Switzerland,Zurich University of Applied Sciences (ZHAW),8,9,7,6,8,7,8,7.5
CP_paper_9,England,University of Cambridge,8,9,7,6,8,7,8,7.5
CP_paper_9,England,University of Dundee,8,9,7,6,9,8,8,8
CP_paper_9,England,University of Wolverhampton,7,8,9,6,8,7,8,7.5
CP_paper_9,China,Peking University,8,9,7,6,9,8,7,8
CP_paper_9,China,Dalian University of Technology,8,9,7,6,9,7,8,8
CP_paper_9,China,China University of Mining and Technology,7,8,8,7,9,7,8,7.67
CP_paper_9,India,Indian Institute of Technology Bombay (IITB),8,7,9,6,8,7,8,7.5
CP_paper_9,India,University of Delhi,8,9,7,6,9,7,8,7.67
CP_paper_9,India,Indian Institute of Technology Hyderabad (IITH),8,7,9,6,7,8,8,7.5
CP_paper_9,Iran,Sharif University of Technology,8,9,7,6,9,6,8,7.5
CP_paper_9,Iran,Shiraz University,8,9,7,6,8,7,8,7.5
CP_paper_9,Iran,Ferdowsi University of Mashhad,7,8,7,6,9,7,8,7.5
CP_paper_9,USA,Massachusetts Institute of Technology,9,8,9,7,8,8,8,8
CP_paper_9,USA,University of Houston,8,9,7,6,9,8,8,8
CP_paper_9,USA,Western Washington University,8,9,7,6,8,7,8,7.5
CP_paper_9,Brazil,University of Sao Paulo,8,9,7,6,9,7,8,8
CP_paper_9,Brazil,Universidade de Brasília,8,9,7,6,9,8,7,7.75
CP_paper_9,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",9,8,7,8,9,7,8,8
CP_paper_9,Egypt,Cairo University,8,9,7,6,9,7,8,7.75
CP_paper_9,Egypt,Alexandria University,8,7,9,6,8,7,7,7.5
CP_paper_9,Egypt,Zagazig University,7,8,9,6,8,7,8,7.5
CP_paper_9,Australia,The University of Melbourne,8,9,9,7,9,8,8,8.3
CP_paper_9,Australia,The University of Adelaide,8,9,7,6,8,8,7,7.5
CP_paper_9,Australia,Queensland University of Technology (QUT),8,9,7,6,9,7,8,8
CP_paper_9,Germany,Technical University of Munich,8,9,9,7,8,8,8,8.0
CP_paper_9,Germany,University of Potsdam,8,9,7,6,9,7,8,8
CP_paper_9,Germany,Leibniz University Hannover,8,9,7,6,9,8,8,7.875
CP_paper_9,South Africa,University of Cape Town,8,9,7,6,8,7,8,7.5
CP_paper_9,South Africa,University of South Africa,8,9,7,6,8,7,8,7.5
CP_paper_9,South Africa,University of the Free State,8,9,7,6,8,7,8,7.5
AI_paper_28,Switzerland,ETH Zurich,7,8,9,6,8,9,8,8
AI_paper_28,Switzerland,University of Lausanne,8,9,7,6,8,7,8,7.5
AI_paper_28,Switzerland,Zurich University of Applied Sciences (ZHAW),8,9,7,6,9,8,8,8
AI_paper_28,England,University of Cambridge,8,9,7,6,9,8,9,8
AI_paper_28,England,University of Dundee,8,9,7,6,8,6,7,7.4
AI_paper_28,England,University of Wolverhampton,9,8,7,6,8,7,8,7.5
AI_paper_28,China,Peking University,8,9,7,6,9,8,7,7.75
AI_paper_28,China,Dalian University of Technology,8,9,7,6,8,7,8,7.5
AI_paper_28,China,China University of Mining and Technology,8,9,7,6,8,7,7,7.5
AI_paper_28,India,Indian Institute of Technology Bombay (IITB),8,9,7,6,9,7,8,8
AI_paper_28,India,University of Delhi,8,9,7,6,8,7,8,7.5
AI_paper_28,India,Indian Institute of Technology Hyderabad (IITH),8,9,7,7,9,6,8,7.75
AI_paper_28,Iran,Sharif University of Technology,9,8,7,6,8,7,8,7.5
AI_paper_28,Iran,Shiraz University,8,9,7,6,9,7,8,8
AI_paper_28,Iran,Ferdowsi University of Mashhad,8,9,7,6,8,7,8,7.5
AI_paper_28,USA,Massachusetts Institute of Technology,8,9,7,6,9,8,8,8
AI_paper_28,USA,University of Houston,8,9,7,6,8,7,8,7.5
AI_paper_28,USA,Western Washington University,8,9,7,6,8,7,7,7.5
AI_paper_28,Brazil,University of Sao Paulo,8,9,7,6,8,7,8,7.5
AI_paper_28,Brazil,Universidade de Brasília,8,9,7,6,9,8,7,8
AI_paper_28,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",8,9,7,6,9,8,7,7.75
AI_paper_28,Egypt,Cairo University,8,9,7,6,8,7,8,7.5
AI_paper_28,Egypt,Alexandria University,8,9,7,6,8,7,8,7.5
AI_paper_28,Egypt,Zagazig University,8,9,7,6,8,7,8,7.5
AI_paper_28,Australia,The University of Melbourne,8,9,7,6,8,7,8,7.5
AI_paper_28,Australia,The University of Adelaide,9,8,7,6,8,7,8,7.5
AI_paper_28,Australia,Queensland University of Technology (QUT),8,9,7,6,9,8,8,8
AI_paper_28,Germany,Technical University of Munich,9,8,7,6,8,7,8,7.5
AI_paper_28,Germany,University of Potsdam,9,8,7,6,8,7,8,7
AI_paper_28,Germany,Leibniz University Hannover,8,9,7,6,8,8,8,7.75
AI_paper_28,South Africa,University of Cape Town,8,7,7,6,9,8,7,7.4
AI_paper_28,South Africa,University of South Africa,8,7,9,6,7,8,8,7.5
AI_paper_28,South Africa,University of the Free State,7,9,8,6,8,7,8,7.5
CP_paper_8,Switzerland,ETH Zurich,8,9,9,7,8,8,9,8
CP_paper_8,Switzerland,University of Lausanne,8,7,9,6,8,8,7,7.5
CP_paper_8,Switzerland,Zurich University of Applied Sciences (ZHAW),8,9,7,6,8,7,8,7.5
CP_paper_8,England,University of Cambridge,8,9,8,7,9,8,8,8
CP_paper_8,England,University of Dundee,8,9,7,6,9,8,8,8
CP_paper_8,England,University of Wolverhampton,8,9,7,6,8,7,8,7.5
CP_paper_8,China,Peking University,7,8,9,6,8,7,8,7.5
CP_paper_8,China,Dalian University of Technology,8,9,7,6,8,7,8,7.5
CP_paper_8,China,China University of Mining and Technology,8,9,7,6,9,7,8,8
CP_paper_8,India,Indian Institute of Technology Bombay (IITB),8,9,7,6,9,7,8,8
CP_paper_8,India,University of Delhi,8,9,7,6,8,7,8,7.5
CP_paper_8,India,Indian Institute of Technology Hyderabad (IITH),8,9,7,6,8,7,8,7.5
CP_paper_8,Iran,Sharif University of Technology,8,7,6,6,7,5,7,6.5
CP_paper_8,Iran,Shiraz University,8,7,6,6,8,7,7,7
CP_paper_8,Iran,Ferdowsi University of Mashhad,9,8,7,6,8,7,8,7
CP_paper_8,USA,Massachusetts Institute of Technology,8,9,8,7,9,8,8,8
CP_paper_8,USA,University of Houston,8,7,9,6,8,7,8,7
CP_paper_8,USA,Western Washington University,8,9,7,6,10,8,7,8
CP_paper_8,Brazil,University of Sao Paulo,8,9,7,6,9,8,8,7.8
CP_paper_8,Brazil,Universidade de Brasília,7,8,9,6,8,7,8,7.5
CP_paper_8,Brazil,"Pontifícia Universidade Católica do Rio Grande do Sul, PUCRS",8,9,7,8,9,7,8,8
CP_paper_8,Egypt,Cairo University,8,9,7,6,8,7,8,7.5
